timestamp,cpu_usage,cpu_count,cpu_user_time,cpu_system_time,cpu_idle_time,cpu_temp,gpu_id,gpu_name,gpu_memory_total,gpu_memory_used,gpu_util,gpu_temp,fps
15:29:20,9.8,16,1.8,8.7,88.9,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,41.0,0.0
15:29:23,9.0,16,1.8,8.5,89.5,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,41.0,0.0
15:29:27,11.2,16,1.0,8.9,90.0,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,41.0,0.0
15:29:30,10.1,16,1.0,7.8,90.8,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,41.0,0.0
15:29:34,12.3,16,1.6,9.3,88.1,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,40.0,0.0
15:29:37,15.1,16,1.6,9.4,88.6,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,40.0,0.0
15:29:41,16.4,16,1.5,7.5,90.9,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,41.0,0.0
15:29:45,15.2,16,3.4,4.9,91.6,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,40.0,0.0
15:29:48,8.6,16,1.0,6.6,92.0,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,41.0,0.0
15:29:52,3.7,16,2.7,3.9,92.9,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,40.0,0.0
15:29:55,6.5,16,2.8,2.1,94.6,N/A,0,NVIDIA GeForce RTX 3050 6GB Laptop GPU,6144.0,0.0,0.0,40.0,0.0
